Symbol,Date      ,Close   ,High    ,Low     ,Open    ,Volume
AAPL  ,2010-11-22,44.7657 ,44.7657 ,43.6957 ,43.8129 ,98268492
AAPL  ,2010-11-23,44.1043 ,44.5357 ,43.7943 ,44.3286 ,129861284
AAPL  ,2010-11-24,44.9707 ,45.0571 ,44.5357 ,44.5714 ,103568136
AAPL  ,2010-11-25,44.9707 ,45.0571 ,44.5357 ,44.5714 ,0
AAPL  ,2010-11-26,45.0    ,45.3857 ,44.7057 ,44.8314 ,59436237
AAPL  ,2010-11-29,45.2671 ,45.3543 ,44.4829 ,45.1757 ,111439895
AAPL  ,2010-11-30,44.45   ,44.9086 ,44.41   ,44.7914 ,125463303
AAPL  ,2010-12-01,45.2    ,45.3929 ,45.0    ,45.1071 ,115437672
AAPL  ,2010-12-02,45.45   ,45.5714 ,44.9843 ,45.3571 ,115912916
AAPL  ,2010-12-03,45.3486 ,45.5214 ,45.1914 ,45.2771 ,85592283
AAPL  ,2010-12-06,45.7357 ,46.0471 ,45.4886 ,45.5057 ,112120127
AAPL  ,2010-12-07,45.4586 ,46.2843 ,45.4457 ,46.2686 ,97863465
AAPL  ,2010-12-08,45.8586 ,45.86   ,45.3014 ,45.6814 ,80483501
AAPL  ,2010-12-09,45.6796 ,46.0714 ,45.5743 ,46.0214 ,73536526
AAPL  ,2010-12-10,45.7943 ,45.8643 ,45.5143 ,45.6643 ,65644243
AAPL  ,2010-12-13,45.9529 ,46.4371 ,45.8571 ,46.3357 ,109953333
AAPL  ,2010-12-14,45.7557 ,46.0771 ,45.5714 ,45.9986 ,87891762
AAPL  ,2010-12-15,45.7657 ,46.1429 ,45.5986 ,45.7143 ,104327314
AAPL  ,2010-12-16,45.8929 ,46.0871 ,45.7286 ,45.87   ,80507098
AAPL  ,2010-12-17,45.8014 ,45.97   ,45.7471 ,45.9114 ,96787068
AAPL  ,2010-12-20,46.03   ,46.1786 ,45.4614 ,45.9429 ,96402194
AAPL  ,2010-12-21,46.315  ,46.3414 ,46.0071 ,46.1557 ,64087884
AAPL  ,2010-12-22,46.4514 ,46.5314 ,46.2214 ,46.34   ,66536029
AAPL  ,2010-12-23,46.2286 ,46.45   ,46.1671 ,46.4286 ,55875176
AAPL  ,2010-12-24,46.2286 ,46.45   ,46.1671 ,46.4286 ,0
AAPL  ,2010-12-27,46.3829 ,46.4914 ,45.9314 ,46.17   ,62453699
AAPL  ,2010-12-28,46.4957 ,46.6657 ,46.4371 ,46.5714 ,43980797
AAPL  ,2010-12-29,46.47   ,46.6357 ,46.4429 ,46.6143 ,40817672
AAPL  ,2010-12-30,46.2371 ,46.5014 ,46.15   ,46.4857 ,39414991
AAPL  ,2010-12-31,46.08   ,46.2114 ,45.9014 ,46.1429 ,48413827
AAPL  ,2011-01-03,47.0814 ,47.18   ,46.4052 ,46.5571 ,111280407
AAPL  ,2011-01-04,47.3271 ,47.5    ,46.8786 ,47.5    ,77337001
AAPL  ,2011-01-05,47.7143 ,47.7629 ,47.0714 ,47.0786 ,63879193
AAPL  ,2011-01-06,47.6757 ,47.8929 ,47.5571 ,47.8571 ,75106626
AAPL  ,2011-01-07,48.0171 ,48.05   ,47.4143 ,47.7314 ,77982212
AAPL  ,2011-01-10,48.9221 ,49.0329 ,48.1671 ,48.4043 ,112139482
AAPL  ,2011-01-11,48.8057 ,49.28   ,48.4957 ,49.2786 ,111019993
