Symbol,Date      ,Close ,High    ,Low     ,Open   ,Volume
WMT   ,2010-11-22,54.38 ,54.6    ,53.92   ,54.2   ,9501766
WMT   ,2010-11-23,53.67 ,54.26   ,53.56   ,54.2   ,13853771
WMT   ,2010-11-24,54.01 ,54.18   ,53.74   ,53.74  ,10313227
WMT   ,2010-11-25,54.01 ,54.18   ,53.74   ,53.74  ,0
WMT   ,2010-11-26,53.74 ,53.93   ,53.57   ,53.69  ,4154988
WMT   ,2010-11-29,53.85 ,53.92   ,53.43   ,53.65  ,10788552
WMT   ,2010-11-30,54.09 ,54.43   ,53.6    ,53.76  ,17559629
WMT   ,2010-12-01,54.7  ,54.85   ,54.39   ,54.42  ,17883267
WMT   ,2010-12-02,54.75 ,54.9    ,54.38   ,54.71  ,15778298
WMT   ,2010-12-03,54.62 ,54.76   ,54.31   ,54.63  ,10099205
WMT   ,2010-12-06,54.49 ,54.94   ,54.47   ,54.88  ,8633272
WMT   ,2010-12-07,55.09 ,55.34   ,54.54   ,54.54  ,15897698
WMT   ,2010-12-08,54.49 ,54.95   ,54.45   ,54.86  ,12481600
WMT   ,2010-12-09,54.34 ,54.77   ,54.32   ,54.72  ,10732719
WMT   ,2010-12-10,54.28 ,54.4    ,54.14   ,54.31  ,12049946
WMT   ,2010-12-13,54.21 ,54.4    ,54.0    ,54.31  ,11328689
WMT   ,2010-12-14,54.45 ,54.58   ,54.02   ,54.1   ,10746202
WMT   ,2010-12-15,54.23 ,54.34   ,54.04   ,54.23  ,10550111
WMT   ,2010-12-16,54.63 ,54.63   ,54.0    ,54.09  ,12335253
WMT   ,2010-12-17,54.41 ,54.75   ,54.38   ,54.68  ,21562172
WMT   ,2010-12-20,53.77 ,54.56   ,53.61   ,54.56  ,13615555
WMT   ,2010-12-21,53.65 ,53.86   ,53.64   ,53.76  ,8294052
WMT   ,2010-12-22,53.31 ,53.65   ,53.16   ,53.59  ,11460725
WMT   ,2010-12-23,53.6  ,53.69   ,53.14   ,53.17  ,9066273
WMT   ,2010-12-24,53.6  ,53.69   ,53.14   ,53.17  ,0
WMT   ,2010-12-27,53.57 ,53.73   ,53.23   ,53.56  ,5876190
WMT   ,2010-12-28,53.74 ,53.93   ,53.51   ,53.63  ,6789615
WMT   ,2010-12-29,54.08 ,54.26   ,53.57   ,53.57  ,7631792
WMT   ,2010-12-30,54.07 ,54.19   ,53.84   ,54.0   ,6303763
WMT   ,2010-12-31,53.93 ,54.25   ,53.79   ,53.97  ,7093892
WMT   ,2011-01-03,54.56 ,54.8    ,54.15   ,54.23  ,14298762
WMT   ,2011-01-04,54.77 ,54.88   ,54.28   ,54.61  ,12154524
WMT   ,2011-01-05,54.41 ,55.07   ,54.32   ,54.75  ,14218224
WMT   ,2011-01-06,53.96 ,54.38   ,53.78   ,54.31  ,15590474
WMT   ,2011-01-07,54.08 ,54.155  ,53.76   ,53.89  ,7969195
WMT   ,2011-01-10,53.73 ,54.11   ,53.54   ,53.65  ,10479403
WMT   ,2011-01-11,54.29 ,54.52   ,53.73   ,53.95  ,12029975
WMT   ,2011-01-12,54.85 ,55.32   ,54.34   ,54.52  ,13554121
WMT   ,2011-01-13,54.79 ,55.36   ,54.69   ,54.7   ,12865956
WMT   ,2011-01-14,54.81 ,54.9946 ,54.42   ,54.73  ,9286738
WMT   ,2011-01-17,54.81 ,54.9946 ,54.42   ,54.73  ,0
WMT   ,2011-01-18,55.14 ,55.4    ,54.75   ,55.11  ,10534371
WMT   ,2011-01-19,55.03 ,55.1496 ,54.71   ,55.04  ,9897278
WMT   ,2011-01-20,55.99 ,56.27   ,55.12   ,55.12  ,19618005
WMT   ,2011-01-21,55.73 ,56.24   ,55.38   ,56.15  ,12960133
WMT   ,2011-01-24,56.05 ,56.05   ,55.3    ,55.39  ,11076319
